,year,Locations State Code,Location State Abbreviation,Location County Code,Location County Name,Commodity Code,Commodity Name,Insurance Plan Code,Insurance Plan Abbreviation,Stage Code,Damage Cause Code,Damage Cause Description,Month of Loss,Month of Loss Abbreviation,Determined Acres,Indemnity Amount,month_year,Average Temperature,Total CDD,Total HDD,Total Precipitation,Avg PDSI
83,2016,6,CA,19,Fresno,52,TABLE GRAPES,90.0,APH,H,81,Plant Disease,4.0,APR,15.05,-46033.0,2016-04-01,57.9,22,213,1.52,-2.1
84,2016,6,CA,19,Fresno,52,TABLE GRAPES,90.0,APH,UH,81,Plant Disease,5.0,MAY,16.3,137431.0,2016-05-01,62.2,33,159,0.77,-1.89
85,2016,6,CA,19,Fresno,52,TABLE GRAPES,90.0,APH,UH,81,Plant Disease,4.0,APR,16.3,137431.0,2016-04-01,57.9,22,213,1.52,-2.1
86,2016,6,CA,19,Fresno,52,TABLE GRAPES,90.0,APH,H,81,Plant Disease,5.0,MAY,15.05,-46033.0,2016-05-01,62.2,33,159,0.77,-1.89
87,2016,6,CA,19,Fresno,53,GRAPES,90.0,APH,H,12,Heat,3.0,MAR,77.95,49957.1,2016-03-01,52.5,6,337,4.88,-2.08
88,2016,6,CA,19,Fresno,53,GRAPES,90.0,APH,H,12,Heat,6.0,JUN,759.58,239683.3,2016-06-01,73.5,201,14,0.27,-1.88
89,2016,6,CA,19,Fresno,53,GRAPES,90.0,APH,H,12,Heat,4.0,APR,344.675,25377.45,2016-04-01,57.9,22,213,1.52,-2.1
90,2016,6,CA,19,Fresno,53,GRAPES,90.0,APH,H,12,Heat,7.0,JUL,785.81,647545.1,2016-07-01,76.8,282,1,0.06,-2.3
91,2016,6,CA,19,Fresno,53,GRAPES,90.0,APH,UH,12,Heat,4.0,APR,1.8,2288.0,2016-04-01,57.9,22,213,1.52,-2.1
92,2016,6,CA,19,Fresno,53,GRAPES,90.0,APH,UH,12,Heat,7.0,JUL,109.0,220323.0,2016-07-01,76.8,282,1,0.06,-2.3
93,2016,6,CA,19,Fresno,53,GRAPES,90.0,APH,H,12,Heat,8.0,AUG,1089.68,898887.7,2016-08-01,76.2,267,0,0.06,-2.55
94,2016,6,CA,19,Fresno,53,GRAPES,90.0,APH,H,12,Heat,2.0,FEB,10.15,5790.14,2016-02-01,51.8,10,271,1.21,-2.99
95,2016,6,CA,19,Fresno,53,GRAPES,90.0,APH,H,12,Heat,5.0,MAY,33.8,3313.45,2016-05-01,62.2,33,159,0.77,-1.89
96,2016,6,CA,19,Fresno,53,GRAPES,90.0,APH,UH,13,Failure of Irrigation Supply,7.0,JUL,35.7,36501.75,2016-07-01,76.8,282,1,0.06,-2.3
97,2016,6,CA,19,Fresno,53,GRAPES,90.0,APH,UH,21,Hail,3.0,MAR,60.07,153469.65,2016-03-01,52.5,6,337,4.88,-2.08
98,2016,6,CA,19,Fresno,53,GRAPES,90.0,APH,H,21,Hail,5.0,MAY,76.6,4235.5,2016-05-01,62.2,33,159,0.77,-1.89
99,2016,6,CA,19,Fresno,53,GRAPES,90.0,APH,UH,21,Hail,4.0,APR,140.0,147197.0,2016-04-01,57.9,22,213,1.52,-2.1
100,2016,6,CA,19,Fresno,53,GRAPES,90.0,APH,H,21,Hail,4.0,APR,30.8,22852.5,2016-04-01,57.9,22,213,1.52,-2.1
101,2016,6,CA,19,Fresno,53,GRAPES,90.0,APH,UH,21,Hail,5.0,MAY,17.0,8806.0,2016-05-01,62.2,33,159,0.77,-1.89
102,2016,6,CA,19,Fresno,53,GRAPES,90.0,APH,H,21,Hail,3.0,MAR,1691.945,1010755.0,2016-03-01,52.5,6,337,4.88,-2.08
103,2016,6,CA,19,Fresno,53,GRAPES,90.0,APH,H,31,Excess Moisture/Precipitation/Rain,5.0,MAY,18.755,1828.25,2016-05-01,62.2,33,159,0.77,-1.89
104,2016,6,CA,19,Fresno,53,GRAPES,90.0,APH,H,31,Excess Moisture/Precipitation/Rain,3.0,MAR,2128.455,1027496.31,2016-03-01,52.5,6,337,4.88,-2.08
105,2016,6,CA,19,Fresno,53,GRAPES,90.0,APH,UH,31,Excess Moisture/Precipitation/Rain,3.0,MAR,64.83,167666.8,2016-03-01,52.5,6,337,4.88,-2.08
106,2016,6,CA,19,Fresno,53,GRAPES,90.0,APH,H,31,Excess Moisture/Precipitation/Rain,4.0,APR,232.001,129648.8,2016-04-01,57.9,22,213,1.52,-2.1
107,2016,6,CA,19,Fresno,53,GRAPES,90.0,APH,H,41,Frost,3.0,MAR,35.24,13838.6,2016-03-01,52.5,6,337,4.88,-2.08
108,2016,6,CA,19,Fresno,53,GRAPES,90.0,APH,H,41,Frost,2.0,FEB,11.26,4389.0,2016-02-01,51.8,10,271,1.21,-2.99
109,2016,6,CA,19,Fresno,53,GRAPES,90.0,APH,H,61,Wind/Excess Wind,4.0,APR,9.0,4837.2,2016-04-01,57.9,22,213,1.52,-2.1
110,2016,6,CA,19,Fresno,53,GRAPES,90.0,APH,UH,61,Wind/Excess Wind,3.0,MAR,68.7,176320.8,2016-03-01,52.5,6,337,4.88,-2.08
111,2016,6,CA,19,Fresno,53,GRAPES,90.0,APH,H,62,Hot Wind,6.0,JUN,3.74,907.6,2016-06-01,73.5,201,14,0.27,-1.88
112,2016,6,CA,19,Fresno,53,GRAPES,90.0,APH,H,81,Plant Disease,7.0,JUL,18.6,7024.0,2016-07-01,76.8,282,1,0.06,-2.3
113,2016,6,CA,19,Fresno,57,CHERRIES,47.0,ARH,H,12,Heat,4.0,APR,64.88,217730.4,2016-04-01,57.9,22,213,1.52,-2.1
114,2016,6,CA,19,Fresno,57,CHERRIES,47.0,ARH,H,21,Hail,4.0,APR,7.74,4925.1,2016-04-01,57.9,22,213,1.52,-2.1
115,2016,6,CA,19,Fresno,57,CHERRIES,47.0,ARH,UH,21,Hail,3.0,MAR,0.755,1493.0,2016-03-01,52.5,6,337,4.88,-2.08
116,2016,6,CA,19,Fresno,57,CHERRIES,47.0,ARH,UA,31,Excess Moisture/Precipitation/Rain,4.0,APR,0.0,-34764.0,2016-04-01,57.9,22,213,1.52,-2.1
117,2016,6,CA,19,Fresno,57,CHERRIES,47.0,ARH,H,31,Excess Moisture/Precipitation/Rain,2.0,FEB,11.76,16860.0,2016-02-01,51.8,10,271,1.21,-2.99
118,2016,6,CA,19,Fresno,57,CHERRIES,47.0,ARH,UH,31,Excess Moisture/Precipitation/Rain,4.0,APR,49.3,241181.0,2016-04-01,57.9,22,213,1.52,-2.1
119,2016,6,CA,19,Fresno,57,CHERRIES,47.0,ARH,UA,31,Excess Moisture/Precipitation/Rain,5.0,MAY,10.8,94790.0,2016-05-01,62.2,33,159,0.77,-1.89
120,2016,6,CA,19,Fresno,57,CHERRIES,47.0,ARH,H,31,Excess Moisture/Precipitation/Rain,4.0,APR,473.6,1332363.05,2016-04-01,57.9,22,213,1.52,-2.1
121,2016,6,CA,19,Fresno,57,CHERRIES,47.0,ARH,H,31,Excess Moisture/Precipitation/Rain,5.0,MAY,35.28,43125.25,2016-05-01,62.2,33,159,0.77,-1.89
122,2016,6,CA,19,Fresno,57,CHERRIES,47.0,ARH,H,31,Excess Moisture/Precipitation/Rain,3.0,MAR,272.8,1001611.0,2016-03-01,52.5,6,337,4.88,-2.08
123,2016,6,CA,19,Fresno,57,CHERRIES,47.0,ARH,UH,31,Excess Moisture/Precipitation/Rain,3.0,MAR,92.845,449763.0,2016-03-01,52.5,6,337,4.88,-2.08
124,2016,6,CA,19,Fresno,57,CHERRIES,47.0,ARH,UA,31,Excess Moisture/Precipitation/Rain,3.0,MAR,0.0,-30870.0,2016-03-01,52.5,6,337,4.88,-2.08
125,2016,6,CA,19,Fresno,57,CHERRIES,47.0,ARH,H,42,Freeze,2.0,FEB,8.88,2667.4,2016-02-01,51.8,10,271,1.21,-2.99
126,2016,6,CA,19,Fresno,57,CHERRIES,47.0,ARH,H,61,Wind/Excess Wind,5.0,MAY,17.76,5334.8,2016-05-01,62.2,33,159,0.77,-1.89
127,2016,6,CA,19,Fresno,87,TOMATOES,90.0,APH,3,12,Heat,5.0,MAY,180.4,106211.2,2016-05-01,62.2,33,159,0.77,-1.89
128,2016,6,CA,19,Fresno,87,TOMATOES,90.0,APH,3,12,Heat,8.0,AUG,142.75,88220.0,2016-08-01,76.2,267,0,0.06,-2.55
129,2016,6,CA,19,Fresno,87,TOMATOES,90.0,APH,3,12,Heat,6.0,JUN,1740.78,1043320.4,2016-06-01,73.5,201,14,0.27,-1.88
130,2016,6,CA,19,Fresno,87,TOMATOES,90.0,APH,3,12,Heat,7.0,JUL,344.56,467282.4,2016-07-01,76.8,282,1,0.06,-2.3
131,2016,6,CA,19,Fresno,87,TOMATOES,90.0,APH,3,21,Hail,4.0,APR,344.0,465328.0,2016-04-01,57.9,22,213,1.52,-2.1
132,2016,6,CA,19,Fresno,87,TOMATOES,90.0,APH,3,31,Excess Moisture/Precipitation/Rain,6.0,JUN,29.59,73373.3,2016-06-01,73.5,201,14,0.27,-1.88
133,2016,6,CA,19,Fresno,87,TOMATOES,90.0,APH,3,31,Excess Moisture/Precipitation/Rain,4.0,APR,1558.97,1041072.4,2016-04-01,57.9,22,213,1.52,-2.1
134,2016,6,CA,19,Fresno,87,TOMATOES,90.0,APH,3,31,Excess Moisture/Precipitation/Rain,7.0,JUL,21.27,35217.0,2016-07-01,76.8,282,1,0.06,-2.3
135,2016,6,CA,19,Fresno,87,TOMATOES,90.0,APH,3,31,Excess Moisture/Precipitation/Rain,5.0,MAY,1242.6,777427.2,2016-05-01,62.2,33,159,0.77,-1.89
136,2016,6,CA,19,Fresno,87,TOMATOES,90.0,APH,3,71,Insects,6.0,JUN,74.95,249965.3,2016-06-01,73.5,201,14,0.27,-1.88
137,2016,6,CA,19,Fresno,87,TOMATOES,90.0,APH,3,71,Insects,4.0,APR,269.07,126443.6,2016-04-01,57.9,22,213,1.52,-2.1
138,2016,6,CA,19,Fresno,87,TOMATOES,90.0,APH,3,71,Insects,7.0,JUL,52.21,75626.2,2016-07-01,76.8,282,1,0.06,-2.3
139,2016,6,CA,19,Fresno,87,TOMATOES,90.0,APH,3,81,Plant Disease,7.0,JUL,197.0,54312.0,2016-07-01,76.8,282,1,0.06,-2.3
140,2016,6,CA,19,Fresno,92,PLUMS,90.0,APH,H,12,Heat,3.0,MAR,12.83,32380.0,2016-03-01,52.5,6,337,4.88,-2.08
141,2016,6,CA,19,Fresno,92,PLUMS,90.0,APH,H,12,Heat,6.0,JUN,7.2,1662.5,2016-06-01,73.5,201,14,0.27,-1.88
